dataset,random_seed,forecast_model,cf_model,horizon,desired_change,fraction_std,forecast_smape,forecast_mase,validity_ratio,proximity,compactness,step_validity_auc
cif2016,39,seq2seq,ForecastCF,12,-0.3,1.0,11.431560400721766,1.6217066261339284,0.669945987654321,0.19278221965844622,0.6135802469135804,0.539351851851852
cif2016,39,seq2seq,BaseShift,12,-0.3,1.0,11.431560400721766,1.6217066261339284,0.4363425925925926,0.7960643480127656,0.03441358024691358,0.08304398148148148
cif2016,39,seq2seq,BaseNN,12,-0.3,1.0,11.431560400721766,1.6217066261339284,0.46855709876543217,1.247119168638835,0.02592592592592593,0.3238811728395062
cif2016,39,gru,ForecastCF,12,-0.3,1.0,11.035120740527384,1.5141319376568336,0.6786265432098766,0.24369406169066335,0.49629629629629624,0.494116512345679
cif2016,39,gru,BaseShift,12,-0.3,1.0,11.035120740527384,1.5141319376568336,0.42650462962962965,0.7960643480127656,0.03441358024691358,0.08063271604938273
cif2016,39,gru,BaseNN,12,-0.3,1.0,11.035120740527384,1.5141319376568336,0.45158179012345673,1.247119168638835,0.02592592592592593,0.24131944444444445
cif2016,39,nbeats,ForecastCF,12,-0.4,1.0,11.060504858335745,1.6652246934992538,0.5547839506172839,0.414829008170311,0.3652777777777778,0.26398533950617287
cif2016,39,nbeats,BaseShift,12,-0.4,1.0,11.060504858335745,1.6652246934992538,0.3616898148148148,1.0614191306836873,0.025925925925925925,0.029417438271604937
cif2016,39,nbeats,BaseNN,12,-0.4,1.0,11.060504858335745,1.6652246934992538,0.55054012345679,1.2980481651011377,0.022993827160493828,0.18055555555555555
cif2016,39,wavenet,ForecastCF,12,-0.4,1.0,9.229029622886715,1.3340127061485476,0.5025077160493827,0.5669639510220745,0.45277777777777783,0.29668209876543206
cif2016,39,wavenet,BaseShift,12,-0.4,1.0,9.229029622886715,1.3340127061485476,0.32947530864197533,1.0614191306836873,0.025925925925925925,0.005401234567901234
cif2016,39,wavenet,BaseNN,12,-0.4,1.0,9.229029622886715,1.3340127061485476,0.25655864197530864,1.2980481651011377,0.022993827160493828,0.10243055555555557
cif2016,39,seq2seq,ForecastCF,12,-0.4,1.0,11.431560400721766,1.6217066261339284,0.5939429012345679,0.24731899240882618,0.5919753086419753,0.4705825617283951
cif2016,39,seq2seq,BaseShift,12,-0.4,1.0,11.431560400721766,1.6217066261339284,0.3931327160493827,1.0614191306836873,0.025925925925925925,0.039351851851851846
cif2016,39,seq2seq,BaseNN,12,-0.4,1.0,11.431560400721766,1.6217066261339284,0.43036265432098764,1.2980481651011377,0.022993827160493828,0.2591628086419753
cif2016,39,gru,ForecastCF,12,-0.4,1.0,11.035120740527384,1.5141319376568336,0.6095679012345679,0.29781603505223325,0.5322530864197531,0.40740740740740744
cif2016,39,gru,BaseShift,12,-0.4,1.0,11.035120740527384,1.5141319376568336,0.3815586419753086,1.0614191306836873,0.025925925925925925,0.034818672839506175
cif2016,39,gru,BaseNN,12,-0.4,1.0,11.035120740527384,1.5141319376568336,0.421875,1.2980481651011377,0.022993827160493828,0.18055555555555558
cif2016,39,nbeats,ForecastCF,12,-0.5,1.0,11.060504858335745,1.6652246934992538,0.5,0.44483673636512605,0.35524691358024696,0.16869212962962965
cif2016,39,nbeats,BaseShift,12,-0.5,1.0,11.060504858335745,1.6652246934992538,0.33236882716049376,1.326773913354609,0.01697530864197531,0.007523148148148148
cif2016,39,nbeats,BaseNN,12,-0.5,1.0,11.060504858335745,1.6652246934992538,0.519483024691358,1.333824353209212,0.022376543209876545,0.15769675925925927
cif2016,39,wavenet,ForecastCF,12,-0.5,1.0,9.229029622886715,1.3340127061485476,0.4510030864197531,0.6176592756443775,0.43256172839506174,0.24729938271604937
cif2016,39,wavenet,BaseShift,12,-0.5,1.0,9.229029622886715,1.3340127061485476,0.31172839506172845,1.326773913354609,0.01697530864197531,0.004147376543209876
cif2016,39,wavenet,BaseNN,12,-0.5,1.0,9.229029622886715,1.3340127061485476,0.2316743827160494,1.333824353209212,0.022376543209876545,0.10580632716049383
cif2016,39,seq2seq,ForecastCF,12,-0.5,1.0,11.431560400721766,1.6217066261339284,0.5300925925925926,0.297929154705077,0.5131172839506173,0.41116898148148145
cif2016,39,seq2seq,BaseShift,12,-0.5,1.0,11.431560400721766,1.6217066261339284,0.34972993827160487,1.326773913354609,0.01697530864197531,0.012827932098765434
cif2016,39,seq2seq,BaseNN,12,-0.5,1.0,11.431560400721766,1.6217066261339284,0.39602623456790126,1.333824353209212,0.022376543209876545,0.26340663580246915
cif2016,39,gru,ForecastCF,12,-0.5,1.0,11.035120740527384,1.5141319376568336,0.5441743827160493,0.3494259575908336,0.5304012345679012,0.3089313271604938
cif2016,39,gru,BaseShift,12,-0.5,1.0,11.035120740527384,1.5141319376568336,0.34780092592592593,1.326773913354609,0.01697530864197531,0.007040895061728394
cif2016,39,gru,BaseNN,12,-0.5,1.0,11.035120740527384,1.5141319376568336,0.38908179012345684,1.333824353209212,0.022376543209876545,0.15065586419753083
cif2016,39,nbeats,ForecastCF,12,0.1,1.0,11.060504858335745,1.6652246934992538,0.6979166666666666,0.30901247527781767,0.3330246913580247,0.5699266975308642
cif2016,39,nbeats,BaseShift,12,0.1,1.0,11.060504858335745,1.6652246934992538,0.37307098765432095,0.26535478267092205,0.09074074074074075,0.060570987654320986
cif2016,39,nbeats,BaseNN,12,0.1,1.0,11.060504858335745,1.6652246934992538,0.5254629629629629,1.5184418267151818,0.017592592592592597,0.27276234567901236
cif2016,39,wavenet,ForecastCF,12,0.1,1.0,9.229029622886715,1.3340127061485476,0.7465277777777778,0.33885265020899275,0.6089506172839506,0.6462191358024691
cif2016,39,wavenet,BaseShift,12,0.1,1.0,9.229029622886715,1.3340127061485476,0.3317901234567901,0.26535478267092205,0.09074074074074075,0.04359567901234568
cif2016,39,wavenet,BaseNN,12,0.1,1.0,9.229029622886715,1.3340127061485476,0.23649691358024694,1.5184418267151818,0.017592592592592597,0.0073302469135802465
cif2016,39,seq2seq,ForecastCF,12,0.1,1.0,11.431560400721766,1.6217066261339284,0.7739197530864197,0.14745610670422735,0.5740740740740741,0.6441936728395061
cif2016,39,seq2seq,BaseShift,12,0.1,1.0,11.431560400721766,1.6217066261339284,0.47858796296296297,0.26535478267092205,0.09074074074074075,0.29301697530864196
