dataset,random_seed,forecast_model,cf_model,horizon,desired_change,fraction_std,forecast_smape,forecast_mase,validity_ratio,proximity,compactness,step_validity_auc
cif2016,39,gru,ForecastCF,12,0.1,0.75,11.035120740527384,1.5141319376568336,0.7339891975308641,0.18937269708814267,0.5371913580246913,0.5871913580246914
cif2016,39,gru,BaseShift,12,0.1,0.75,11.035120740527384,1.5141319376568336,0.3993055555555556,0.26535478267092205,0.09074074074074075,0.21479552469135801
cif2016,39,gru,BaseNN,12,0.1,0.75,11.035120740527384,1.5141319376568336,0.36361882716049376,1.5184418267151818,0.017592592592592597,0.13908179012345678
cif2016,39,nbeats,ForecastCF,12,0.1,1.0,11.060504858335745,1.6652246934992538,0.6979166666666666,0.30901247527781767,0.3330246913580247,0.5699266975308642
cif2016,39,nbeats,BaseShift,12,0.1,1.0,11.060504858335745,1.6652246934992538,0.37307098765432095,0.26535478267092205,0.09074074074074075,0.060570987654320986
cif2016,39,nbeats,BaseNN,12,0.1,1.0,11.060504858335745,1.6652246934992538,0.5254629629629629,1.5184418267151818,0.017592592592592597,0.27276234567901236
cif2016,39,wavenet,ForecastCF,12,0.1,1.0,9.229029622886715,1.3340127061485476,0.7465277777777778,0.33885265020899275,0.6089506172839506,0.6462191358024691
cif2016,39,wavenet,BaseShift,12,0.1,1.0,9.229029622886715,1.3340127061485476,0.3317901234567901,0.26535478267092205,0.09074074074074075,0.04359567901234568
cif2016,39,wavenet,BaseNN,12,0.1,1.0,9.229029622886715,1.3340127061485476,0.23649691358024694,1.5184418267151818,0.017592592592592597,0.0073302469135802465
cif2016,39,seq2seq,ForecastCF,12,0.1,1.0,11.431560400721766,1.6217066261339284,0.7739197530864197,0.14745610670422735,0.5740740740740741,0.6441936728395061
cif2016,39,seq2seq,BaseShift,12,0.1,1.0,11.431560400721766,1.6217066261339284,0.47858796296296297,0.26535478267092205,0.09074074074074075,0.29301697530864196
cif2016,39,seq2seq,BaseNN,12,0.1,1.0,11.431560400721766,1.6217066261339284,0.5250771604938272,1.5184418267151818,0.017592592592592597,0.2603202160493827
cif2016,39,gru,ForecastCF,12,0.1,1.0,11.035120740527384,1.5141319376568336,0.7804783950617283,0.16159163637815385,0.552469135802469,0.6437114197530864
cif2016,39,gru,BaseShift,12,0.1,1.0,11.035120740527384,1.5141319376568336,0.49459876543209874,0.26535478267092205,0.09074074074074075,0.3332368827160494
cif2016,39,gru,BaseNN,12,0.1,1.0,11.035120740527384,1.5141319376568336,0.46894290123456783,1.5184418267151818,0.017592592592592597,0.2632137345679012
cif2016,39,nbeats,ForecastCF,12,0.1,1.25,11.060504858335745,1.6652246934992538,0.7393904320987653,0.2761397589340547,0.3683641975308642,0.6141975308641976
cif2016,39,nbeats,BaseShift,12,0.1,1.25,11.060504858335745,1.6652246934992538,0.4565972222222222,0.26535478267092205,0.09074074074074075,0.10966435185185187
cif2016,39,nbeats,BaseNN,12,0.1,1.25,11.060504858335745,1.6652246934992538,0.6035879629629629,1.5184418267151818,0.017592592592592597,0.3599537037037038
cif2016,39,wavenet,ForecastCF,12,0.1,1.25,9.229029622886715,1.3340127061485476,0.7727623456790123,0.30387888619810827,0.6375,0.6739004629629629
cif2016,39,wavenet,BaseShift,12,0.1,1.25,9.229029622886715,1.3340127061485476,0.40200617283950624,0.26535478267092205,0.09074074074074075,0.0685763888888889
cif2016,39,wavenet,BaseNN,12,0.1,1.25,9.229029622886715,1.3340127061485476,0.3040123456790123,1.5184418267151818,0.017592592592592597,0.026041666666666668
cif2016,39,seq2seq,ForecastCF,12,0.1,1.25,11.431560400721766,1.6217066261339284,0.8007330246913581,0.12927178031889322,0.623611111111111,0.6983024691358025
cif2016,39,seq2seq,BaseShift,12,0.1,1.25,11.431560400721766,1.6217066261339284,0.5414737654320988,0.26535478267092205,0.09074074074074075,0.3991126543209877
cif2016,39,seq2seq,BaseNN,12,0.1,1.25,11.431560400721766,1.6217066261339284,0.5945216049382716,1.5184418267151818,0.017592592592592597,0.3473186728395061
cif2016,39,gru,ForecastCF,12,0.1,1.25,11.035120740527384,1.5141319376568336,0.8080632716049382,0.13720137462638765,0.5820987654320988,0.6875
cif2016,39,gru,BaseShift,12,0.1,1.25,11.035120740527384,1.5141319376568336,0.5684799382716049,0.26535478267092205,0.09074074074074075,0.42862654320987653
cif2016,39,gru,BaseNN,12,0.1,1.25,11.035120740527384,1.5141319376568336,0.5518904320987654,1.5184418267151818,0.017592592592592597,0.3669945987654321
cif2016,39,nbeats,ForecastCF,12,0.1,1.5,11.060504858335745,1.6652246934992538,0.7729552469135802,0.2475342165133672,0.4094135802469136,0.6585648148148149
cif2016,39,nbeats,BaseShift,12,0.1,1.5,11.060504858335745,1.6652246934992538,0.5229552469135803,0.26535478267092205,0.09074074074074075,0.1627121913580247
cif2016,39,nbeats,BaseNN,12,0.1,1.5,11.060504858335745,1.6652246934992538,0.663966049382716,1.5184418267151818,0.017592592592592597,0.44531250000000006
cif2016,39,wavenet,ForecastCF,12,0.1,1.5,9.229029622886715,1.3340127061485476,0.7889660493827161,0.27206450419199046,0.6654320987654321,0.6923225308641977
cif2016,39,wavenet,BaseShift,12,0.1,1.5,9.229029622886715,1.3340127061485476,0.4625771604938272,0.26535478267092205,0.09074074074074075,0.10927854938271606
cif2016,39,wavenet,BaseNN,12,0.1,1.5,9.229029622886715,1.3340127061485476,0.3441358024691358,1.5184418267151818,0.017592592592592597,0.04012345679012346
cif2016,39,seq2seq,ForecastCF,12,0.1,1.5,11.431560400721766,1.6217066261339284,0.8144290123456791,0.11219965827472107,0.6722222222222222,0.7110339506172839
cif2016,39,seq2seq,BaseShift,12,0.1,1.5,11.431560400721766,1.6217066261339284,0.5916280864197531,0.26535478267092205,0.09074074074074075,0.4793595679012346
cif2016,39,seq2seq,BaseNN,12,0.1,1.5,11.431560400721766,1.6217066261339284,0.6398533950617284,1.5184418267151818,0.017592592592592597,0.40489969135802467
cif2016,39,gru,ForecastCF,12,0.1,1.5,11.035120740527384,1.5141319376568336,0.8288966049382717,0.11482537243892489,0.6188271604938271,0.7263695987654322
cif2016,39,gru,BaseShift,12,0.1,1.5,11.035120740527384,1.5141319376568336,0.6201774691358024,0.26535478267092205,0.09074074074074075,0.4930555555555556
cif2016,39,gru,BaseNN,12,0.1,1.5,11.035120740527384,1.5141319376568336,0.6105324074074074,1.5184418267151818,0.017592592592592597,0.43074845679012347
cif2016,39,nbeats,ForecastCF,12,0.1,1.75,11.060504858335745,1.6652246934992538,0.7899305555555556,0.22433826588061423,0.4703703703703704,0.6852816358024691
cif2016,39,nbeats,BaseShift,12,0.1,1.75,11.060504858335745,1.6652246934992538,0.5829475308641975,0.26535478267092205,0.09074074074074075,0.24286265432098766
cif2016,39,nbeats,BaseNN,12,0.1,1.75,11.060504858335745,1.6652246934992538,0.7011959876543209,1.5184418267151818,0.017592592592592597,0.5104166666666667
cif2016,39,wavenet,ForecastCF,12,0.1,1.75,9.229029622886715,1.3340127061485476,0.8173225308641975,0.24337070206048647,0.6970679012345679,0.7297453703703703
cif2016,39,wavenet,BaseShift,12,0.1,1.75,9.229029622886715,1.3340127061485476,0.5106095679012346,0.26535478267092205,0.09074074074074075,0.14245756172839508
cif2016,39,wavenet,BaseNN,12,0.1,1.75,9.229029622886715,1.3340127061485476,0.3900462962962963,1.5184418267151818,0.017592592592592597,0.0613425925925926
cif2016,39,seq2seq,ForecastCF,12,0.1,1.75,11.431560400721766,1.6217066261339284,0.8229166666666666,0.09825126303249371,0.7271604938271605,0.726466049382716
